unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"4777E0AF-69B2-5D59-E063-4804A8C09F8E","202000","2025-11-21","LS13 1EJ","S","N","F","","60","FIELDWAY RISE","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AF-69B2-5D59-E063-4804A8C09F8E/current"
"3DCCB7CA-986A-5B9D-E063-4704A8C0331E","255000","2025-08-01","LS13 1ES","S","N","F","","6","SHIRLEY DRIVE","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-986A-5B9D-E063-4704A8C0331E/current"
"49E87C32-AE8D-591C-E063-4704A8C00C31","170650","2025-03-17","LS13 1ET","T","N","F","","4","ERIC STREET","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/49E87C32-AE8D-591C-E063-4704A8C00C31/current"
"34222873-0584-4D2B-E063-4704A8C07853","255000","2025-03-27","LS13 1EU","S","N","F","","11","VALLEY ROAD","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/34222873-0584-4D2B-E063-4704A8C07853/current"
"44F406B7-1875-1095-E063-4704A8C048D4","332000","2025-10-30","LS13 1EU","D","N","F","","41","VALLEY ROAD","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/44F406B7-1875-1095-E063-4704A8C048D4/current"
"4777E0AF-7325-5D59-E063-4804A8C09F8E","330000","2025-12-02","LS13 1FA","S","N","F","","8","HALF MILE GROVE","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AF-7325-5D59-E063-4804A8C09F8E/current"
"42C129E5-6416-60A9-E063-4804A8C0C25D","345000","2025-09-08","LS13 1FE","T","N","F","","4","HORSFORDE VIEW","BRAMLEY","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/42C129E5-6416-60A9-E063-4804A8C0C25D/current"
"3DCCB7CA-A13C-5B9D-E063-4704A8C0331E","312500","2025-08-15","LS13 1FF","T","N","F","","5","HARDWICK COURT","BRAMLEY","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-A13C-5B9D-E063-4704A8C0331E/current"
"42C129E5-668E-60A9-E063-4804A8C0C25D","145750","2025-09-15","LS13 1FL","F","N","L","","6","FARSLEY BECK MEWS","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/42C129E5-668E-60A9-E063-4804A8C0C25D/current"
"42C129E5-6107-60A9-E063-4804A8C0C25D","370000","2025-10-15","LS13 1GA","T","N","F","","1","BAXENDALE DRIVE","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/42C129E5-6107-60A9-E063-4804A8C0C25D/current"
"49E87C32-B05E-591C-E063-4704A8C00C31","182500","2025-12-19","LS13 1GE","F","N","L","","55","HORSFORDE VIEW","BRAMLEY","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/49E87C32-B05E-591C-E063-4704A8C00C31/current"
"4777E0AF-704B-5D59-E063-4804A8C09F8E","380000","2025-11-28","LS13 1GE","T","N","F","","68","HORSFORDE VIEW","BRAMLEY","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AF-704B-5D59-E063-4804A8C09F8E/current"
"4777E0AF-706C-5D59-E063-4804A8C09F8E","360000","2025-11-21","LS13 1GE","T","N","F","","74","HORSFORDE VIEW","BRAMLEY","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AF-706C-5D59-E063-4804A8C09F8E/current"
"42C129E5-6427-60A9-E063-4804A8C0C25D","360000","2025-09-26","LS13 1GE","T","N","F","","96","HORSFORDE VIEW","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/42C129E5-6427-60A9-E063-4804A8C0C25D/current"
"3B5CE842-74EF-EE3A-E063-4804A8C0D6F1","215000","2025-06-06","LS13 1HF","S","N","F","","17","CALVERLEY GARDENS","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3B5CE842-74EF-EE3A-E063-4804A8C0D6F1/current"
"44F406B7-1CEF-1095-E063-4704A8C048D4","262000","2025-11-03","LS13 1HW","T","N","F","","135","TOWN STREET","RODLEY","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/44F406B7-1CEF-1095-E063-4704A8C048D4/current"
"42C129E5-60C2-60A9-E063-4804A8C0C25D","252000","2025-09-25","LS13 1HW","F","N","L","1","RODLEY HALL, 151","TOWN STREET","RODLEY","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/42C129E5-60C2-60A9-E063-4804A8C0C25D/current"
"42C129E5-603A-60A9-E063-4804A8C0C25D","285000","2025-09-17","LS13 1JE","S","N","F","","5","ST ANDREWS CLOSE","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/42C129E5-603A-60A9-E063-4804A8C0C25D/current"
"49E87C32-AE2D-591C-E063-4704A8C00C31","475000","2025-09-17","LS13 1JG","D","N","F","","4","CLUB LANE","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/49E87C32-AE2D-591C-E063-4704A8C00C31/current"
"38EDC0C3-8C9F-0F63-E063-4704A8C00424","261000","2025-06-17","LS13 1JG","T","N","F","","29","CLUB LANE","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C3-8C9F-0F63-E063-4704A8C00424/current"
"2D4D7609-BB48-BDF9-E063-4804A8C0672F","300000","2025-01-10","LS13 1JH","T","N","F","","2","WESLEY STREET","RODLEY","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2D4D7609-BB48-BDF9-E063-4804A8C0672F/current"
"34222873-01C5-4D2B-E063-4704A8C07853","300150","2025-03-28","LS13 1JH","T","N","F","","6","WESLEY STREET","RODLEY","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/34222873-01C5-4D2B-E063-4704A8C07853/current"
"3DCCB7CA-9CAF-5B9D-E063-4704A8C0331E","297000","2025-07-14","LS13 1JH","S","N","F","","18","WESLEY STREET","RODLEY","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-9CAF-5B9D-E063-4704A8C0331E/current"
"31C68072-D082-FEE3-E063-4804A8C04F37","215000","2025-03-07","LS13 1JN","S","N","F","","23","KELDHOLME ROAD","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/31C68072-D082-FEE3-E063-4804A8C04F37/current"
"38EDC0C3-8AF7-0F63-E063-4704A8C00424","272000","2025-06-06","LS13 1JP","T","N","F","","10","KIRKHAM STREET","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C3-8AF7-0F63-E063-4704A8C00424/current"
"2D4D7609-C08E-BDF9-E063-4804A8C0672F","190000","2025-01-06","LS13 1JP","T","N","F","","22","KIRKHAM STREET","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2D4D7609-C08E-BDF9-E063-4804A8C0672F/current"
"42C129E5-5D9A-60A9-E063-4804A8C0C25D","205000","2025-09-26","LS13 1JP","T","N","F","","25","KIRKHAM STREET","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/42C129E5-5D9A-60A9-E063-4804A8C0C25D/current"
"4777E0AF-6D6C-5D59-E063-4804A8C09F8E","278000","2025-12-12","LS13 1JP","D","N","F","","30","KIRKHAM STREET","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AF-6D6C-5D59-E063-4804A8C09F8E/current"
