Web Link (opens in new window),URN,LAESTAB,School name,Ofsted phase,Type of education,School open date,Admissions policy,Sixth form,Designated religious character,Religious ethos,Faith grouping,Ofsted region,Region,Local authority,Parliamentary constituency,Postcode,Multi-academy trust UID,Multi-academy trust name,Academy sponsor UID,Academy sponsor name,The income deprivation affecting children index (IDACI) quintile,Total number of pupils,Statutory lowest age,Statutory highest age,Inspection number of latest full inspection,Inspection type,Inspection type grouping,Event type grouping,Inspection start date,Publication date,Does the latest full inspection relate to the URN of the current school?,URN at time of latest full inspection,LAESTAB at time of latest full inspection,School name at time of latest full inspection,School type at time of latest full inspection,Category of concern,Safeguarding standards,Safeguarding standards - date of judgement,Inclusion,Inclusion - date of judgement,Curriculum and teaching,Curriculum and teaching - date of judgement,Achievement,Achievement - date of judgement,Attendance and behaviour,Attendance and behaviour - date of judgement,Personal development and wellbeing,Personal development and wellbeing - date of judgement,Early years (where applicable),Early years - date of judgement,Post-16 provision (where applicable),Post-16 provision - date of judgement,Leadership and governance,Leadership and governance - date of judgement,Inspection number of latest OEIF graded inspection,Inspection type of latest OEIF graded inspection,Inspection type grouping of latest OEIF graded inspection,Event type grouping of latest OEIF graded inspection,Inspection start date of latest OEIF graded inspection,Publication date of latest OEIF graded inspection,Does the latest OEIF graded inspection relate to the URN of the current school?,URN at time of latest OEIF graded inspection,LAESTAB at time of latest OEIF graded inspection,School name at time of latest OEIF graded inspection,School type at time of latest OEIF graded inspection,Latest OEIF category of concern,Latest OEIF overall effectiveness,Latest OEIF quality of education,Latest OEIF behaviour and attitudes,Latest OEIF personal development,Latest OEIF effectiveness of leadership and management,Latest OEIF  safeguarding is effective?,Latest OEIF early years provision (where applicable),Latest OEIF sixth form provision (where applicable),Latest ungraded inspection number,Date of latest ungraded inspection,Ungraded inspection publication date,Does the ungraded inspection relate to the URN of the current school?,URN at time of the ungraded inspection,LAESTAB at time of the ungraded inspection,School name at time of the ungraded inspection,School type at time of the ungraded inspection,Ungraded inspection overall outcome,Most recent category of concern
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108075,108075,3834062,Ralph Thoresby School,Secondary,Foundation School,NULL,Non-selective,Has a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds North West,LS16 7RX,NULL,NULL,NULL,NULL,3,1004,11,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10297242,26/10/2023,10/12/2023,Yes,108075,3834062,Ralph Thoresby School,Foundation School,School remains Good,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108076,108076,3834063,Roundhay School,Secondary,Community School,NULL,Non-selective,Has a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds North East,LS8 1ND,NULL,NULL,NULL,NULL,3,2519,4,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10286143,S5 Inspection,S5 Inspection,Schools - S5,28/11/2023,04/02/2024,Yes,108076,3834063,Roundhay School,Community School,,1,1,1,1,1,Yes,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108079,108079,3834102,Pudsey Grammar School,Secondary,Foundation School,NULL,Non-selective,Has a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds West and Pudsey,LS28 7ND,NULL,NULL,NULL,NULL,3,1362,11,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10322951,18/04/2024,21/05/2024,Yes,108079,3834102,Pudsey Grammar School,Foundation School,School remains Good,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108085,108085,3834108,Guiseley School,Secondary,Foundation School,01/01/2014,Non-selective,Has a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds North West,LS20 8DT,NULL,NULL,NULL,NULL,1,1427,11,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10121684,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,24/09/2019,21/10/2019,Yes,108085,3834108,Guiseley School,Foundation School,,2,2,2,2,2,Yes,9,2,10346227,06/11/2024,02/12/2024,Yes,108085,3834108,Guiseley School,Foundation School,Standards maintained,
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108088,108088,3834111,Wetherby High School,Secondary,Foundation School,NULL,Non-selective,Does not have a sixth form,None,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Wetherby and Easingwold,LS22 6JS,NULL,NULL,NULL,NULL,3,783,11,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10297243,21/02/2024,25/03/2024,Yes,108088,3834111,Wetherby High School,Foundation School,School remains Good,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108095,108095,3834751,Cardinal Heenan Catholic High School,Secondary,Voluntary Aided School,01/01/1900,Non-selective,Does not have a sixth form,Roman Catholic,Does not apply,Christian,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds North East,LS6 4QE,NULL,NULL,NULL,NULL,4,919,11,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10255804,08/02/2023,29/03/2023,Yes,108095,3834751,Cardinal Heenan Catholic High School,Voluntary Aided School,School remains Good,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108097,108097,3834753,Mount St Mary's Catholic High School,Secondary,Voluntary Aided School,NULL,Non-selective,Does not have a sixth form,Roman Catholic,Does not apply,Christian,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds South,LS9 8LA,NULL,NULL,NULL,NULL,5,940,11,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10390054,S5 Inspection,S5 Inspection,Schools - S5,25/03/2025,06/05/2025,Yes,108097,3834753,Mount St Mary's Catholic High School,Voluntary Aided School,,Not judged,1,1,1,1,Yes,9,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108100,108100,3835200,Lady Elizabeth Hastings CofE Primary School,Primary,Voluntary Aided School,NULL,Not applicable,Does not have a sixth form,Church of England,Does not apply,Christian,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Selby,WF10 2BD,NULL,NULL,NULL,NULL,2,144,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10297244,S5 Inspection,S5 Inspection,Schools - S5,06/02/2024,06/03/2024,Yes,108100,3835200,Lady Elizabeth Hastings CofE Primary School,Voluntary Aided School,,2,2,2,2,2,Yes,2,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108119,108119,3837015,John Jamieson School,Special,Community Special School,01/01/1900,Not applicable,Has a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds North East,LS8 2PW,NULL,NULL,NULL,NULL,5,442,2,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10211481,03/03/2022,16/05/2022,Yes,108119,3837015,John Jamieson School,Community Special School,School remains Good,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108120,108120,3837016,"St John's Catholic Specialist School, Boston Spa",Special,Non-Maintained Special School,NULL,Not applicable,Has a sixth form,Does not apply,Catholic,Christian,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Wetherby and Easingwold,LS23 6DF,NULL,NULL,NULL,NULL,1,82,3,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10297245,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,07/02/2024,17/04/2024,Yes,108120,3837016,"St John's Catholic Specialist School, Boston Spa",Non-Maintained Special School,,2,2,2,2,2,Yes,9,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108123,108123,3837062,Broomfield South SILC,Special,Community Special School,01/01/1900,Not applicable,Has a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds South,LS10 3JP,NULL,NULL,NULL,NULL,5,272,2,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10255902,08/03/2023,16/05/2023,Yes,108123,3837062,Broomfield South SILC,Community Special School,School remains Good,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108133,108133,3837072,West Oaks School,Special,Community Special School,NULL,Not applicable,Has a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds Central and Headingley,LS6 2ST,NULL,NULL,NULL,NULL,4,488,2,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10228385,11/05/2022,05/07/2022,Yes,108133,3837072,West Oaks School,Community Special School,School remains Outstanding,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/121791,121791,3833927,New Bewerley Community School,Primary,Community School,01/09/2005,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds South,LS11 6TB,NULL,NULL,NULL,NULL,5,378,4,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10255717,S5 Inspection,S5 Inspection,Schools - S5,20/09/2023,16/10/2023,Yes,121791,3833927,New Bewerley Community School,Community School,,3,3,2,2,2,Yes,2,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/131111,131111,3833928,Valley View Community Primary School,Primary,Community School,01/09/2006,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds West and Pudsey,LS13 1DD,NULL,NULL,NULL,NULL,4,442,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10346377,S5 Inspection,S5 Inspection,Schools - S5,08/10/2024,20/11/2024,Yes,131111,3833928,Valley View Community Primary School,Community School,,Not judged,2,1,2,2,Yes,2,9,10110767,17/10/2019,13/11/2019,Yes,131111,3833928,Valley View Community Primary School,Community School,School remains Good,
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/131570,131570,3833929,Shire Oak VC Primary School,Primary,Voluntary Controlled School,01/09/2006,Not applicable,Does not have a sixth form,Church of England,Does not apply,Christian,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds Central and Headingley,LS6 2DT,NULL,NULL,NULL,NULL,3,209,4,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10346385,20/06/2024,08/07/2024,Yes,131570,3833929,Shire Oak VC Primary School,Voluntary Controlled School,School remains Good,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/132795,132795,3832512,Asquith Primary School,Primary,Community School,01/09/2002,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds South West and Morley,LS27 9QY,NULL,NULL,NULL,NULL,3,370,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10346394,20/06/2024,16/07/2024,Yes,132795,3832512,Asquith Primary School,Community School,School remains Good (Concerns) - S5 Next,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/133555,133555,3832513,Otley All Saints CofE Primary School,Primary,Voluntary Controlled School,01/09/2002,Not applicable,Does not have a sixth form,Church of England,Does not apply,Christian,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds North West,LS21 1DF,NULL,NULL,NULL,NULL,1,226,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10255861,15/06/2023,30/07/2023,Yes,133555,3832513,Otley All Saints CofE Primary School,Voluntary Controlled School,School remains Good,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/134317,134317,3832002,Rufford Park Primary School ,Primary,Foundation School,01/09/2004,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds North West,LS19 7QR,NULL,NULL,NULL,NULL,3,327,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10226884,20/07/2022,21/09/2022,Yes,134317,3832002,Rufford Park Primary School ,Foundation School,School remains Good,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/134407,134407,3833921,Drighlington Primary School,Primary,Community School,01/09/2004,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds South West and Morley,BD11 1JY,NULL,NULL,NULL,NULL,3,405,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10342759,S5 Inspection,S5 Inspection,Schools - S5,12/06/2024,10/07/2024,Yes,134407,3833921,Drighlington Primary School,Community School,,3,3,2,2,3,Yes,3,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/134513,134513,3833922,Hollybush Primary,Primary,Community School,01/09/2004,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds West and Pudsey,LS13 2JJ,NULL,NULL,NULL,NULL,5,358,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10200684,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,28/09/2021,17/11/2021,Yes,134513,3833922,Hollybush Primary,Community School,,2,2,2,2,2,Yes,3,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/134884,134884,3837074,West Specialist Inclusive Learning Centre,Special,Community Special School,01/01/2005,Not applicable,Has a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds West and Pudsey,LS28 6HL,NULL,NULL,NULL,NULL,4,287,2,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10200255,16/06/2022,21/09/2022,Yes,134884,3837074,West Specialist Inclusive Learning Centre,Community Special School,School remains Good,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/134913,134913,3833925,Great Preston VC CofE Primary School,Primary,Voluntary Controlled School,02/09/2005,Not applicable,Does not have a sixth form,Church of England,Does not apply,Christian,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds East,LS26 8AR,NULL,NULL,NULL,NULL,2,223,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10269236,16/06/2023,31/07/2023,Yes,134913,3833925,Great Preston VC CofE Primary School,Voluntary Controlled School,School remains Good,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/135210,135210,3833931,Allerton CofE Primary School,Primary,Voluntary Controlled School,01/09/2007,Not applicable,Does not have a sixth form,Church of England,Does not apply,Christian,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds North East,LS17 7HL,NULL,NULL,NULL,NULL,3,642,2,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10211233,06/07/2022,26/09/2022,Yes,135210,3833931,Allerton CofE Primary School,Voluntary Controlled School,School remains Good,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/135935,135935,3836906,Leeds West Academy,Secondary,Academy Sponsor Led,01/09/2009,Non-selective,Does not have a sixth form,Does not apply,None,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds West and Pudsey,LS13 1DQ,5316,White Rose Academies Trust,3719,White Rose Academies Trust,5,1450,11,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10346407,16/10/2024,03/12/2024,Yes,135935,3836906,Leeds West Academy,Academy Sponsor Led,Standards maintained,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/136326,136326,3832396,Green Lane Primary Academy,Primary,Academy Converter,01/11/2010,Not applicable,Not applicable,None,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds East,LS25 2JX,4474,DELTA ACADEMIES TRUST,4475,Delta Academies Trust,1,443,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10255634,S5 Inspection,S5 Inspection,Schools - S5,15/11/2023,19/12/2023,Yes,136326,3832396,Green Lane Primary Academy,Academy Converter,,1,1,1,1,1,Yes,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/136343,136343,3834112,Garforth Academy,Secondary,Academy Converter,01/11/2010,Non-selective,Has a sixth form,None,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds East,LS25 1LJ,4474,DELTA ACADEMIES TRUST,4475,Delta Academies Trust,1,1880,11,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10346411,S5 Inspection,S5 Inspection,Schools - S5,05/11/2024,12/01/2025,Yes,136343,3834112,Garforth Academy,Academy Converter,,Not judged,1,1,1,1,Yes,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/136392,136392,3834101,The Morley Academy,Secondary,Academy Converter,01/01/2011,Non-selective,Does not have a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds South West and Morley,LS27 0PD,3206,The GORSE Academies Trust,4971,The GORSE Academies Trust,3,1422,11,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10315562,S5 Inspection,S5 Inspection,Schools - S5,24/09/2024,16/10/2024,Yes,136392,3834101,The Morley Academy,Academy Converter,,Not judged,1,1,1,1,Yes,9,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/136826,136826,3834000,Leeds East Academy,Secondary,Academy Sponsor Led,01/09/2011,Non-selective,Does not have a sixth form,Does not apply,None,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds East,LS14 6HA,5316,White Rose Academies Trust,3719,White Rose Academies Trust,5,1016,11,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10323022,S5 Inspection,S5 Inspection,Schools - S5,08/10/2024,19/11/2024,Yes,136826,3834000,Leeds East Academy,Academy Sponsor Led,,Not judged,3,2,2,2,Yes,9,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/137065,137065,3834065,Co-op Academy Leeds,Secondary,Academy Sponsor Led,01/09/2012,Non-selective,Does not have a sixth form,Does not apply,None,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds South,LS9 7HD,2777,THE CO-OPERATIVE ACADEMIES TRUST,4949,The Co-operative Academies Trust,5,969,11,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10241155,Requires Improvement S5 Reinspection Visit 3,Requires Improvement S5 Reinspection Visit 3,Schools - S5,29/11/2022,19/01/2023,Yes,137065,3834065,Co-op Academy Leeds,Academy Sponsor Led,,2,2,2,2,2,Yes,9,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
